N,Time,np,SpeedUp
300,0.16256,1,
800,4.02138,1,
1000,5.83182,1,
300,0.174343,2,0.9324148374
800,4.466021,2,0.9004391157
1000,5.616092,2,1.0384124761
300,0.232407,3,0.6994625807
800,4.634866,3,0.8676367343
1000,5.994907,3,0.9727957415
300,0.313579,4,0.5184020614
800,4.249359,4,0.9463497906
1000,6.329687,4,0.921344136
